station_id,latitude,longitude,population,capacity,zone_id,Acres,Persons Per Acre ,capacity per 1000
3165,40.77579377,-73.97620574,25,51,1014300,726.47,0,2040
336,40.73047747,-73.99906065,6202,36,1006500,49.7,124.8,5.8
3584,40.6707767,-73.9576801,3595,42,3021900,36.34,98.9,11.68
143,40.69239502,-73.99337909,3359,24,3000700,43.04,78,7.14
539,40.71534825,-73.96024116,2596,31,3055300,38.62,67.2,11.94
3119,40.74232744,-73.95411749,4790,45,4000700,134.68,35.6,9.39
495,40.76269882,-73.99301222,6928,39,1012700,43,161.1,5.63
320,40.717571,-74.005549,5156,27,1003300,84.47,61,5.24
453,40.74475148,-73.99915362,8780,66,1009300,44.26,198.4,7.52
83,40.68382604,-73.97632328,1554,62,3003500,32.87,47.3,39.9
3452,40.71915572,-73.94885391,1372,43,3051500,46.12,29.7,31.34
3664,40.72019521,-74.01030064,5860,30,1003900,82.82,70.8,5.12
3296,40.78245418,-73.94891962,13749,42,1015400,43.83,313.7,3.05
3526,40.7747878,-73.9125551,2325,27,4011500,45.85,50.7,11.61
3684,40.73756121,-74.00398269,5966,51,1007700,44.15,135.1,8.55
3615,40.748,-73.9460927,1076,21,4001900,218.09,4.9,19.52
3058,40.69237074,-73.93705428,4193,24,3028100,40.02,104.8,5.72
3715,40.71816969,-73.95520136,3564,31,3051900,67.62,52.7,8.7
3552,40.805973,-73.964928,10064,39,1019900,56.06,179.5,3.88
249,40.71870987,-74.0090009,5860,27,1003900,82.82,70.8,4.61
3131,40.7671284,-73.96224618,8767,31,1011800,43.68,200.7,3.54
3707,40.741459,-73.983293,7614,55,1006800,43.11,176.6,7.22
532,40.710451,-73.960876,5469,43,3052300,35.11,155.8,7.86
471,40.71286844,-73.95698119,3564,31,3051900,67.62,52.7,8.7
3317,40.6686273,-73.98700053,3481,24,3013900,37.39,93.1,6.89
296,40.71413089,-73.9970468,8478,35,1001600,51.46,164.7,4.13
3076,40.70870368,-73.9448625,4163,36,3050500,41.86,99.5,8.65
529,40.7575699,-73.99098507,2303,41,1011500,43.48,53,17.8
3569,40.6758324,-73.9561677,5549,29,3030500,79.69,69.6,5.23
3410,40.6864442,-73.98759104,3598,31,3004100,40.04,89.9,8.62
